z_mm,normalized_temperature_rise
3.570000000000000284e+00,8.024585634004645363e-02
3.580000000000000071e+00,8.120599511362282252e-02
3.590000000000000302e+00,8.217524495297512388e-02
3.600000000000000533e+00,8.315365853300449306e-02
3.610000000000000320e+00,8.414128836925785504e-02
3.620000000000000551e+00,8.513818681018055223e-02
3.630000000000000338e+00,8.614440602930317770e-02
3.640000000000000568e+00,8.715999801736461217e-02
3.650000000000000355e+00,8.818501457437240287e-02
3.660000000000000586e+00,8.921950730159947107e-02
3.669999999999999929e+00,9.026352759351881361e-02
3.680000000000000160e+00,9.131712662967700345e-02
3.689999999999999947e+00,9.238035536650629487e-02
3.700000000000000178e+00,9.345326452907752601e-02
3.710000000000000409e+00,9.453590460279300001e-02
3.720000000000000195e+00,9.562832582502114875e-02
3.730000000000000426e+00,9.673057817667317371e-02
3.740000000000000213e+00,9.784271137372266280e-02
3.750000000000000444e+00,9.896477485866971013e-02
3.760000000000000231e+00,1.000968177919487057e-01
3.770000000000000462e+00,1.012388890432823346e-01
3.780000000000000249e+00,1.023910371829814536e-01
3.790000000000000480e+00,1.035533104731933135e-01
3.800000000000000266e+00,1.047257568590968246e-01
3.810000000000000497e+00,1.059084239600475985e-01
3.820000000000000284e+00,1.071013590606729182e-01
3.830000000000000515e+00,1.083046091019183033e-01
3.840000000000000746e+00,1.095182206720455714e-01
3.850000000000000089e+00,1.107422399975842714e-01
3.860000000000000320e+00,1.119767129342376794e-01
3.870000000000000107e+00,1.132216849577433182e-01
3.880000000000000338e+00,1.144772011546906221e-01
3.890000000000000124e+00,1.157433062132955520e-01
3.900000000000000355e+00,1.170200444141337587e-01
3.910000000000000142e+00,1.183074596208332774e-01
3.920000000000000817e+00,1.196055952707296005e-01
3.930000000000000160e+00,1.209144943654800880e-01
3.939999999999999947e+00,1.222341994616440997e-01
3.950000000000000178e+00,1.235647526612270453e-01
3.959999999999999964e+00,1.249061956021882830e-01
3.970000000000000639e+00,1.262585694489193611e-01
3.979999999999999982e+00,1.276219148826873706e-01
3.990000000000000657e+00,1.289962720920502237e-01
4.000000000000000000e+00,1.303816807632409147e-01
