wavelength_nm,power_17_mW_dbm,power_73_mW_dbm,power_131_mW_dbm,power_188_mW_dbm,power_244_mW_dbm,power_296_mW_dbm,power_344_mW_dbm,power_367_mW_dbm
1549.417,nan,-43.398496,-41.789474,-39.684211,-41.586466,-40.541353,nan,-41.12782
1549.4256,nan,-43.421053,-41.962406,-39.684211,-41.533835,-40.533835,nan,-41.082707
1549.4343,nan,-43.443609,-42.157895,-39.714286,-41.511278,-40.533835,nan,-41.007519
1549.4429,nan,-43.458647,-42.300752,-39.766917,-41.518797,-40.526316,-40.639098,-40.969925
1549.4516,nan,-43.481203,-42.315789,-39.857143,-41.571429,nan,-40.616541,-40.834586
1549.4602,nan,-43.503759,-42.488722,-40.022556,-41.556391,-41.210526,-40.601504,-40.804511
1549.4689,nan,-43.518797,-42.879699,-40.015038,nan,-41.225564,-40.593985,-40.766917
1549.4775,nan,-43.541353,-42.992481,-40.022556,-40.466165,-41.270677,-42.203008,-40.75188
1549.4862,nan,-43.556391,-42.977444,-40.112782,-40.428571,-41.345865,nan,-40.744361
1549.4948,nan,-43.571429,-43,-41.736842,-40.390977,-41.413534,nan,-40.789474
1549.5035,nan,-43.601504,-42.962406,-41.819549,-40.398496,-41.488722,nan,-40.827068
1549.5121,nan,-43.616541,-42.93985,-42.037594,-40.383459,-41.533835,nan,-40.932331
1549.5208,nan,-43.62406,-42.864662,-42.045113,-40.338346,-41.56391,nan,-41.007519
1549.5294,nan,-43.646617,-42.789474,-42.195489,-40.323308,-41.578947,nan,-41.097744
1549.5381,nan,nan,-41.488722,-42.24812,-40.323308,-41.601504,nan,-41.180451
1549.5467,nan,nan,-40.909774,-42.390977,-40.345865,nan,nan,-41.255639
1549.5554,nan,nan,-41.631579,-42.443609,-40.406015,-40.864662,nan,-41.278195
1549.564,nan,nan,-41.609023,-42.443609,-40.406015,-40.87218,nan,-41.330827
1549.5727,nan,nan,-39.969925,-42.451128,-40.413534,-40.864662,nan,-41.353383
1549.5813,nan,nan,-39.849624,-42.390977,-40.458647,-40.804511,nan,-41.345865
1549.59,nan,nan,-39.609023,-42.390977,-41.691729,-40.729323,-41.142857,-41.37594
1549.5986,nan,nan,-39.428571,-42.443609,-41.714286,-40.676692,nan,-41.330827
1549.6073,nan,nan,-39.112782,-42.390977,-41.849624,-40.639098,-40.962406,-41.270677
1549.6159,nan,nan,-38.789474,nan,-41.879699,-40.616541,-40.894737,-41.225564
1549.6246,nan,nan,-38.466165,-40.330827,-41.894737,-40.609023,-40.827068,-41.12782
1549.6332,nan,nan,-38.218045,-40.270677,-42.06015,-40.616541,-40.789474,-41.075188
1549.6419,nan,nan,-38.045113,-40.157895,-42.142857,-40.62406,-40.774436,-40.984962
1549.6505,nan,nan,-37.864662,-40.067669,-42.157895,-40.631579,-40.766917,-40.947368
1549.6592,nan,nan,-37.616541,-39.992481,-42.150376,-41.300752,-40.759398,-40.924812
1549.6678,nan,nan,-37.451128,-39.827068,-42.165414,-41.368421,-40.759398,-40.917293
1549.6765,nan,nan,-37.300752,-39.601504,-42.180451,-41.533835,-40.766917,-40.932331
1549.6851,nan,nan,-37.165414,-39.496241,-42.157895,-41.714286,-40.774436,-41.015038
1549.6938,nan,nan,-37.052632,-39.360902,nan,-41.864662,nan,-41.030075
