z_mm,exact_fin_beer_lambert_rise_K,local_beer_lambert_rise_K,effective_hotspot_rise_K
6.0216847,5.8342059,5.0831448,58.090396
6.030025,5.7979838,5.0515857,57.572249
6.0383653,5.7619866,5.0202226,57.057583
6.0467056,5.7262128,4.9890542,56.546385
6.0550459,5.6906612,4.9580793,56.038647
6.0633862,5.6553303,4.9272967,55.534356
6.0717264,5.6202188,4.8967052,55.033501
6.0800667,5.5853253,4.8663036,54.536072
6.088407,5.5506484,4.8360908,54.042056
6.0967473,5.5161868,4.8060656,53.551444
6.1050876,5.4819391,4.7762268,53.064222
6.1134279,5.4479041,4.7465733,52.580381
6.1217681,5.4140804,4.7171038,52.099907
6.1301084,5.3804667,4.6878173,51.622789
6.1384487,5.3470617,4.6587127,51.149016
6.146789,5.313864,4.6297887,50.678576
6.1551293,5.2808725,4.6010443,50.211456
6.1634696,5.2480859,4.5724784,49.747644
6.1718098,5.2155027,4.5440899,49.287129
6.1801501,5.1831219,4.5158775,48.829897
6.1884904,5.1509421,4.4878404,48.375937
6.1968307,5.1189621,4.4599773,47.925237
6.205171,5.0871807,4.4322872,47.477783
6.2135113,5.0555965,4.404769,47.033563
6.2218515,5.0242085,4.3774217,46.592565
6.2301918,4.9930153,4.3502442,46.154776
6.2385321,4.9620158,4.3232354,45.720183
6.2468724,4.9312088,4.2963942,45.288773
6.2552127,4.900593,4.2697198,44.860533
6.263553,4.8701673,4.2432109,44.435451
6.2718932,4.8399305,4.2168666,44.013513
6.2802335,4.8098815,4.1906859,43.594706
6.2885738,4.780019,4.1646677,43.179017
6.2969141,4.7503419,4.1388111,42.766433
6.3052544,4.720849,4.113115,42.35694
6.3135947,4.6915393,4.0875784,41.950526
6.3219349,4.6624115,4.0622004,41.547177
6.3302752,4.6334646,4.0369799,41.146879
6.3386155,4.6046974,4.011916,40.749618
6.3469558,4.5761088,3.9870077,40.355383
6.3552961,4.5476977,3.9622541,39.964158
6.3636364,4.519463,3.9376542,39.57593
6.3719766,4.4914036,3.9132069,39.190685
6.3803169,4.4635184,3.8889115,38.808411
6.3886572,4.4358063,3.8647669,38.429092
6.3969975,4.4082663,3.8407722,38.052716
6.4053378,4.3808972,3.8169265,37.679268
6.4136781,4.3536981,3.7932289,37.308734
6.4220183,4.3266679,3.7696783,36.941101
6.4303586,4.2998054,3.746274,36.576354
6.4386989,4.2731098,3.723015,36.214481
6.4470392,4.2465799,3.6999004,35.855466
6.4553795,4.2202147,3.6769293,35.499295
6.4637198,4.1940132,3.6541008,35.145955
6.4720601,4.1679743,3.631414,34.795431
6.4804003,4.1420971,3.6088681,34.44771
6.4887406,4.1163806,3.5864622,34.102777
6.4970809,4.0908238,3.5641954,33.760617
6.5054212,4.0654256,3.5420668,33.421218
6.5137615,4.0401851,3.5200757,33.084564
6.5221018,4.0151013,3.498221,32.750642
6.530442,3.9901733,3.4765021,32.419436
6.5387823,3.9654,3.4549179,32.090933
6.5471226,3.9407805,3.4334678,31.765119
6.5554629,3.9163139,3.4121509,31.441979
6.5638032,3.8919992,3.3909663,31.121499
6.5721435,3.8678354,3.3699132,30.803664
6.5804837,3.8438217,3.3489909,30.488461
6.588824,3.819957,3.3281984,30.175875
6.5971643,3.7962406,3.3075351,29.865891
6.6055046,3.7726713,3.287,29.558495
6.6138449,3.7492484,3.2665924,29.253673
6.6221852,3.7259709,3.2463116,28.951411
6.6305254,3.702838,3.2261566,28.651693
6.6388657,3.6798486,3.2061268,28.354506
6.647206,3.657002,3.1862213,28.059836
6.6555463,3.6342973,3.1664394,27.767667
6.6638866,3.6117335,3.1467803,27.477986
6.6722269,3.5893098,3.1272433,27.190778
6.6805671,3.5670253,3.1078276,26.906029
6.6889074,3.5448791,3.0885324,26.623724
6.6972477,3.5228705,3.069357,26.343849
6.705588,3.5009985,3.0503007,26.06639
6.7139283,3.4792623,3.0313627,25.791332
6.7222686,3.457661,3.0125423,25.518662
6.7306088,3.4361939,2.9938387,25.248364
6.7389491,3.41486,2.9752512,24.980424
6.7472894,3.3936586,2.9567792,24.714828
6.7556297,3.3725888,2.9384218,24.451562
6.76397,3.3516499,2.9201784,24.190611
6.7723103,3.3308409,2.9020482,23.931962
6.7806505,3.3101612,2.8840307,23.675599
6.7889908,3.2896098,2.8661249,23.42151
6.7973311,3.269186,2.8483304,23.169678
6.8056714,3.248889,2.8306463,22.920091
6.8140117,3.2287181,2.8130721,22.672734
6.822352,3.2086723,2.7956069,22.427593
6.8306922,3.188751,2.7782502,22.184653
6.8390325,3.1689535,2.7610012,21.943901
6.8473728,3.1492788,2.7438593,21.705323
6.8557131,3.1297262,2.7268239,21.468904
6.8640534,3.1102951,2.7098942,21.234631
6.8723937,3.0909846,2.6930696,21.002489
6.8807339,3.071794,2.6763495,20.772464
6.8890742,3.0527226,2.6597332,20.544543
6.8974145,3.0337695,2.64322,20.318711
6.9057548,3.0149341,2.6268094,20.094954
6.9140951,2.9962157,2.6105007,19.87326
6.9224354,2.9776135,2.5942932,19.653613
6.9307756,2.9591267,2.5781863,19.436
6.9391159,2.9407548,2.5621795,19.220408
6.9474562,2.9224969,2.546272,19.006821
6.9557965,2.9043524,2.5304633,18.795228
6.9641368,2.8863205,2.5147527,18.585613
6.9724771,2.8684005,2.4991397,18.377964
6.9808173,2.8505919,2.4836236,18.172266
6.9891576,2.8328938,2.4682038,17.968507
6.9974979,2.8153055,2.4528798,17.766672
7.0058382,2.7978265,2.4376509,17.566748
7.0141785,2.780456,2.4225166,17.368722
