wavelength_nm,power_0_mW_dbm,power_17_mW_dbm,power_73_mW_dbm,power_131_mW_dbm,power_188_mW_dbm,power_244_mW_dbm,power_296_mW_dbm,power_344_mW_dbm,power_367_mW_dbm
1546.6312,-43.899945,-43.922309,-43.909139,-43.983122,-43.947446,-43.913853,-43.899569,-43.895488,-43.893225
1546.6344,-43.913566,-43.906531,-43.898616,-43.979296,-43.936667,-43.919988,-43.902645,-43.891448,-43.890632
1546.6375,-43.927941,-43.891089,-43.889575,-43.973315,-43.925688,-43.927316,-43.907542,-43.889462,-43.890154
1546.6406,-43.942222,-43.87674,-43.882448,-43.965337,-43.914987,-43.935443,-43.914014,-43.889624,-43.891813
1546.6437,-43.955541,-43.864202,-43.877582,-43.955629,-43.905038,-43.943921,-43.92173,-43.891927,-43.89553
1546.6469,-43.967068,-43.854111,-43.875221,-43.944561,-43.896291,-43.952267,-43.930282,-43.89626,-43.90112
1546.65,-43.976056,-43.84699,-43.875491,-43.932579,-43.889147,-43.959982,-43.939206,-43.902407,-43.908304
1546.6531,-43.981894,-43.843221,-43.878388,-43.920191,-43.883937,-43.966585,-43.948004,-43.910058,-43.916711
1546.6562,-43.984147,-43.84302,-43.883775,-43.907936,-43.880909,-43.971633,-43.956162,-43.918819,-43.925901
1546.6594,-43.98259,-43.846423,-43.891382,-43.896359,-43.880208,-43.974747,-43.963185,-43.928226,-43.935375
1546.6625,-43.977224,-43.853281,-43.900818,-43.885983,-43.881872,-43.975641,-43.968618,-43.937768,-43.944608
1546.6656,-43.968277,-43.863256,-43.91158,-43.877283,-43.885823,-43.974135,-43.972074,-43.94691,-43.953067
1546.6688,-43.956199,-43.875834,-43.923077,-43.870662,-43.89187,-43.97017,-43.97326,-43.955119,-43.960241
1546.6719,-43.941628,-43.89034,-43.934653,-43.866431,-43.899713,-43.963816,-43.971992,-43.961894,-43.965672
1546.675,-43.925353,-43.905969,-43.945624,-43.864792,-43.908953,-43.955268,-43.968211,-43.966794,-43.968979
1546.6781,-43.908267,-43.92182,-43.955308,-43.865826,-43.919108,-43.944842,-43.961988,-43.969463,-43.96988
1546.6813,-43.891313,-43.93694,-43.963067,-43.869485,-43.929636,-43.932955,-43.953525,-43.969652,-43.968214
1546.6844,-43.875428,-43.950378,-43.96834,-43.875596,-43.939957,-43.920106,-43.943142,-43.967236,-43.963952
1546.6875,-43.861493,-43.961236,-43.970683,-43.883857,-43.949481,-43.906853,-43.931265,-43.962226,-43.957198
1546.6906,-43.850284,-43.968728,-43.969794,-43.893854,-43.957642,-43.893779,-43.918403,-43.954768,-43.94819
1546.6937,-43.842429,-43.97223,-43.965541,-43.905072,-43.96393,-43.88147,-43.90512,-43.945138,-43.937287
1546.6969,-43.838378,-43.971322,-43.957966,-43.91692,-43.967914,-43.870481,-43.892012,-43.933729,-43.924949
1546.7,-43.838374,-43.965827,-43.947295,-43.928757,-43.969277,-43.86131,-43.879668,-43.921031,-43.911718
1546.7031,-43.842443,-43.955821,-43.93392,-43.939922,-43.96783,-43.854378,-43.868652,-43.907606,-43.898183
